tweet,category
 سلاما لمن يجلس وحيدا مشتت لافكاار مبعثر لمشااعر تماما مثلي,Diminished ability to think or concentrate
 مشتت ,Diminished ability to think or concentrate
 واني اعلم ان الطريق طويل وانا لوحدي والخوف يتركني لياليها الموحشه غيابك اسير مشتته التفكير لااعلم الي اين امضي فقط اجعلني قويه الله حتي اتخطي شيءا كربتي,Diminished ability to think or concentrate
مو قادره اركز كثر التشتت,Diminished ability to think or concentrate
طبعا لان جماعه ابن مشتت الفكر,Diminished ability to think or concentrate
ما كان ده حالي والله حاجه تتعدل وانه يسترني ف الدنيا والاخره ويريح قلب وخاطر واحد مشتت,Diminished ability to think or concentrate
صحيح والعقل مشتت ودنيا بايظه والحاله تصعب ع الكافر,Diminished ability to think or concentrate
تخيل بانك تعيش وسط ناس وانت مو عارف تتواصل معهم باي طريقه ومو عارف تبين مشاعرك دماغك يفسر المعطيات بشكل متداخل الاحيان تحب الهدوء بعيد الضجيج وتجبر علي فعل اوامر وانت ذهنك يكون مشتت,Diminished ability to think or concentrate
كنت اتابع وانا مشتته واهلي يسولفون ,Diminished ability to think or concentrate
مدري شعور تحس تقدر توصفه تكون مشتت حتي انت تدري وش تبغي,Diminished ability to think or concentrate
فقر التركيز مشتته اقدر اذاكر ساعتين متواصله ,Diminished ability to think or concentrate
احتاج فعلا احس مشتته هالفتره امل الميزان,Diminished ability to think or concentrate
والله ماش مو قادر اركز عقل بطن اليوم الدنيا كلها مضروبه,Diminished ability to think or concentrate
معلش قصدي بناتي عقلي مشتت,Diminished ability to think or concentrate
اشعر بان الكون ضايق وان افكاري مشتته ماكنت اريده ضيعني السعي وراءه وشتتني ابتعادي ,Diminished ability to think or concentrate
وش فايده السكينه وانا مو فرحانه وعليا هموم وافكاري مشتته وركبني ستين عفريت,Diminished ability to think or concentrate
احسني متلخبطه وافكاري مشتته جدا وما اعرف كيف اتصرف,Diminished ability to think or concentrate
انا اكيد مشتته فكريا ومو عارفه ارتب امور حياتي,Diminished ability to think or concentrate
اصبحت مشتته افكاري وتصرفاتكم,Diminished ability to think or concentrate
عقلي مشتت,Diminished ability to think or concentrate
سنوات دراستي كنت مشتته وعندي مشاكل عاطفية وتعبانه نفسيا ,Diminished ability to think or concentrate
مشتت انا كقلب يتيم يحبه احد لكنه متهم,Diminished ability to think or concentrate
حيل ضايع و مشتت ما ادري وش اسوي بحياتي,Diminished ability to think or concentrate
طاقتي مشتتة وعندي ألم سنين,Diminished ability to think or concentrate
ذهني مشتت,Diminished ability to think or concentrate
اني مشتت نفسي علي الفاضي و هلبس قدام مثبت علي القرار الصح ,Diminished ability to think or concentrate
بعض الأيام اكون مفرط الثقه بالنفس وبعض الايام اكون مشتت ومرتبك,Diminished ability to think or concentrate
انا اعرف باني سيء واكره اشخاص كثيرون ومشاعري متناقضه للغايه وافعالي مشتته رماديه واحيانا اكره نفسي جدا ,Diminished ability to think or concentrate
واقعي مشتت,Diminished ability to think or concentrate
عقبالي اعرف اي خيار طاقتي مشتته ولقيت نفسي بكل خيار انطباق الفعاليه,Diminished ability to think or concentrate
قلبي مشتت وتاليه البشر قاتلنا بعرف ممكن نتحرر هالكابوس,Diminished ability to think or concentrate
ياليت يكون لي نصيب وحظ لاني مشتته هالفتره,Diminished ability to think or concentrate
باين عليا اني مشتت,Diminished ability to think or concentrate
مشتت نوعا,Diminished ability to think or concentrate
المحزن الكمان بالموضوع قديش الواحد ضايع بحياته و مضيع وقته و مشتت تفكيره,Diminished ability to think or concentrate
مشتت تفكيري,Diminished ability to think or concentrate
عقلي مشتت,Diminished ability to think or concentrate
امشي اذا زعلت امشي اذا فرحت امشي اذا افكاري مشتت امشي اذا احس اني طاقه سلبيه ,Diminished ability to think or concentrate
انا مفكك انا مشتت جدا,Diminished ability to think or concentrate
فكري مشتت ناطرة خبر حلو,Diminished ability to think or concentrate
اعلم اني تائه و ان الايام السيئه و الاشخاص السيئين جعلوني أتألم كثيرا اعد امتلك رغبه بالاستمرار اعلم اني مشتته حزينه طوال الوقت ,Diminished ability to think or concentrate
انا الشعور وبين زيف اللا شعور مشتت الحضور ورغبتي ب الانعزال,Diminished ability to think or concentrate
مريضه نفسيه مشتته,Diminished ability to think or concentrate
ايوه مشتته هالفتره نواحي كثيره,Diminished ability to think or concentrate
جد والله مشتته مشتته ماشاء الله عليكي اتزن اذا عندك طريقه او ورد,Diminished ability to think or concentrate
فعلا الوضع مشتت بالنسبه مو عارفه وش اسوي وعندي عروض مابي ارتباط اي كلام ,Diminished ability to think or concentrate
صح والله احس مشتته ربي يعين,Diminished ability to think or concentrate
جالسه احلم فعلا اسمه شتات ومخي مشتت,Diminished ability to think or concentrate
ااااخ وانا اقول افكاري مشتته وتايهه باشيااء كثيره ,Diminished ability to think or concentrate
الله يطمنك فعلا كنت في فتره سيءه كنت مشتته لابعد درجه,Diminished ability to think or concentrate
اذا كان العقل مشتت وكل الافكار ملخبطه,Diminished ability to think or concentrate
اصدددددق ماقيييل علي كلام اهلي  صدق اننا ودنا ننبسط بيصير يومنا ع الجوال يوم نقوم لين ننام ماله فايده حضوري بيصير ذهننا مشتت مايمدينا نركز زين,Diminished ability to think or concentrate
مشتت ضايعي تركيزي صفر احد شاغل بالي,Diminished ability to think or concentrate
انا زيها مخي مشتت و افكار العالم كلها بمخي لدرجه انا ماعرف افكر ايش ,Diminished ability to think or concentrate
مشتته وارغب بقتل نفسي,Diminished ability to think or concentrate
مختنق مشتت واتصرف بدون تركيز,Diminished ability to think or concentrate
قلبي صامد داءم عقلي مشتت يهم حاله القلب العقل,Diminished ability to think or concentrate
انحولت مو قادره اركز,Diminished ability to think or concentrate
لانه احسني مشتته ومو عارفه نفسي ابدا,Diminished ability to think or concentrate
مشتته الهدوء و التفكير,Diminished ability to think or concentrate
مخي مشتت افرح انغبن مدري ,Diminished ability to think or concentrate
